Workload Concurrency BlockSize MyRAMBenchValue TheoreticalValue MyRAMBenchEfficiencyRWR	2	1000.000000	2822332541.619767	0.000000	100
RWR	4	1000.000000	1680157066.425146	0.000000	100
RWR	4	1000000.000000	20162495913.483974	0.000000	100
RWR	2	1000000.000000	20823922316.238998	0.000000	100
RWR	1	1000000.000000	26919431477.334606	0.000000	100
RWS	1	1000.000000	7090577519.802424	0.000000	100
RWS	2	1000.000000	6793308336.299003	0.000000	100
RWS	4	1000.000000	7217348008.551320	0.000000	100
RWS	1	1000000.000000	7057754291.262312	0.000000	100
RWS	2	1000000.000000	7416293148.563832	0.000000	100
RWS	4	1000000.000000	7917716648.074485	0.000000	100
